date,price,quantity
2023-06-08,126700,919226
2023-06-07,125700,872501
2023-06-05,127200,1917032
2023-06-02,123100,923145
2023-06-01,123000,938784
2023-05-31,122800,1976166
2023-05-30,124900,3759591
2023-05-26,112700,389620
2023-05-25,112600,475713
2023-05-24,113300,368199
2023-05-23,114200,430549
2023-05-22,113800,516511
2023-05-19,113400,436895
2023-05-18,113000,407261
2023-05-17,111900,388321
2023-05-16,110500,646552
2023-05-15,111500,485601
2023-05-12,111800,753751
2023-05-11,116200,904911
2023-05-10,114900,1231852
2023-05-09,111900,562232
2023-05-08,112300,821333
2023-05-04,109200,436200
2023-05-03,109300,371989
2023-05-02,109500,443845
2023-04-28,109300,808675
2023-04-27,107700,522016
2023-04-26,108400,603110
2023-04-25,108900,1051431
2023-04-24,107400,561213
2023-04-21,107800,1187692
2023-04-20,110600,877927
2023-04-19,112900,747852
2023-04-18,111600,1014529
2023-04-17,112200,1014716
2023-04-14,115200,795003
2023-04-13,115300,1275287
2023-04-12,114600,1116912
2023-04-11,112600,1095649
2023-04-10,113000,1018183
2023-04-07,114300,921786
2023-04-06,113900,891174
2023-04-05,116800,1010185
2023-04-04,115900,896834
2023-04-03,113800,713112
2023-03-31,115300,855187
2023-03-30,113100,570965
2023-03-29,113700,554609
2023-03-28,111800,1263322
2023-03-27,113500,778173
2023-03-24,113000,893158
2023-03-23,111800,1324425
2023-03-22,114200,756170
2023-03-21,113300,712657
2023-03-20,113900,965943
2023-03-17,117900,918172
2023-03-16,117500,916862
2023-03-15,117400,1133693
2023-03-14,111800,1114429
2023-03-13,117500,851620
2023-03-10,115700,858971
2023-03-09,117000,1144788
2023-03-08,117500,1731900
2023-03-07,114400,748490
2023-03-06,114500,964347
2023-03-03,110800,475873
2023-03-02,111400,484235
2023-02-28,111200,666842
2023-02-27,112700,556263
2023-02-24,113400,711338
2023-02-23,114700,1414208
2023-02-22,111100,692730
2023-02-21,114000,735027
2023-02-20,113300,730359
2023-02-17,113900,735524
2023-02-16,114000,1080764
2023-02-15,112800,1108858
2023-02-14,113300,1957756
2023-02-13,107200,907871
2023-02-10,110600,1330878
2023-02-09,108000,1189827
2023-02-08,107600,1809917
2023-02-07,102000,568693
2023-02-06,101600,663779
2023-02-03,100800,493356
2023-02-02,100900,727164
2023-02-01,99100,738213
2023-01-31,100100,1140938
2023-01-30,100400,1322757
2023-01-27,98100,813280
2023-01-26,97900,496024
2023-01-25,96600,403888
2023-01-20,96300,391157
2023-01-19,96300,601293
2023-01-18,95200,458888
2023-01-17,94700,511231
2023-01-16,94400,458632
2023-01-13,94200,500644
2023-01-12,93700,487521
2023-01-11,94800,454625
2023-01-10,95100,583121
2023-01-09,95100,1246443
2023-01-06,90700,520258
2023-01-05,89900,372671
2023-01-04,89700,582484
2023-01-03,85700,535289
2023-01-02,86400,256377
2022-12-29,86500,451139
2022-12-28,89400,490113
2022-12-27,89700,553886
2022-12-26,88900,466302
2022-12-23,90900,946249
2022-12-22,90300,1421236
2022-12-21,85900,255814
2022-12-20,86100,340339
2022-12-19,86900,432162
2022-12-16,87200,625891
2022-12-15,88700,244911
2022-12-14,89900,471240
2022-12-13,88100,588048
2022-12-12,89800,431521
2022-12-09,91000,599973
2022-12-08,89800,922814
2022-12-07,90300,1994747
2022-12-06,97200,1145457
2022-12-05,96800,462365
2022-12-02,96600,809770
2022-12-01,96200,656245
2022-11-30,97600,1734591
2022-11-29,93800,623921
2022-11-28,93200,1494873
2022-11-25,89700,309097
2022-11-24,90500,302045
2022-11-23,90200,454470
2022-11-22,89500,392751
2022-11-21,90100,659130
2022-11-18,92000,864219
2022-11-17,92900,523307
2022-11-16,95600,589204
2022-11-15,96600,736227
2022-11-14,95600,888814
2022-11-11,94500,891240
2022-11-10,91900,803724
2022-11-09,93200,933729
2022-11-08,91300,994859
2022-11-07,90900,1584070
2022-11-04,88600,2425215
2022-11-03,82800,643835
2022-11-02,83700,740355
2022-11-01,82600,611191
2022-10-31,81600,713095
2022-10-28,79900,641547
2022-10-27,80200,920792
2022-10-26,77800,1247943
2022-10-25,80100,552564
2022-10-24,80900,611218
2022-10-21,80800,347557
2022-10-20,81200,594436
2022-10-19,80600,706403
2022-10-18,82800,594072
2022-10-17,81700,394098
2022-10-14,80700,462737
2022-10-13,78100,588068
2022-10-12,79800,594177
2022-10-11,78200,827730
2022-10-07,81700,676353
2022-10-06,80600,582507
2022-10-05,79200,696257
2022-10-04,80700,764137
2022-09-30,78600,887235
2022-09-29,78000,788884
2022-09-28,79300,1063245
2022-09-27,81300,960659
2022-09-26,81800,981155
2022-09-23,84900,725235
2022-09-22,85300,927127
2022-09-21,88000,669889
2022-09-20,89700,540462
2022-09-19,90400,455443
2022-09-16,90600,769264
2022-09-15,92000,672520
2022-09-14,94000,721562
2022-09-13,97900,703205
2022-09-08,93800,598114
2022-09-07,94400,654418
2022-09-06,96800,354834
2022-09-05,97200,330235
2022-09-02,97300,464595
2022-09-01,97700,683659
2022-08-31,101000,712641
2022-08-30,97500,514506
2022-08-29,96200,852805
2022-08-26,100500,549129
2022-08-25,99100,541955
2022-08-24,98100,557382
2022-08-23,98200,588286
2022-08-22,100000,664440
2022-08-19,101000,571786
2022-08-18,102000,768622
2022-08-17,103500,1537894
2022-08-16,102000,872610
2022-08-12,101000,1151625
2022-08-11,101000,2683987
2022-08-10,92800,502234
2022-08-09,94700,542364
2022-08-08,94000,579176
2022-08-05,95900,447686
2022-08-04,96000,1059583
2022-08-03,93800,374218
2022-08-02,93500,474933
2022-08-01,94400,485739
2022-07-29,94400,674170
2022-07-28,93600,666622
2022-07-27,94300,330196
2022-07-26,93600,417522
2022-07-25,93900,351528
2022-07-22,93500,363025
2022-07-21,94200,444578
2022-07-20,94100,643294
2022-07-19,92900,410666
2022-07-18,92500,847838
2022-07-15,90900,604053
2022-07-14,90200,658582
2022-07-13,91100,676772
2022-07-12,90400,654534
2022-07-11,91300,710884
2022-07-08,92000,1494419
2022-07-07,95900,1090036
2022-07-06,93100,1023511
2022-07-05,95500,1348997
2022-07-04,90200,701722
2022-07-01,89900,1390290
2022-06-30,88300,790624
2022-06-29,90700,873866
2022-06-28,89000,727402
2022-06-27,89700,842826
2022-06-24,89000,877028
2022-06-23,88300,1418259
2022-06-22,87200,1196070
2022-06-21,91000,516032
2022-06-20,90200,919626
2022-06-17,93200,827209
2022-06-16,94400,860556
2022-06-15,93200,829525
2022-06-14,95300,1012058
2022-06-13,95100,1400191
2022-06-10,100500,595867
2022-06-09,102500,929702
2022-06-08,102000,568572
